Date,Close,High,Low,Open,Volume,stock
2024-01-09,1800.404296875,1819.3073893645967,1787.9559188940461,1803.6316541293215,6880100.0,1605.T
2024-01-10,1799.0211181640625,1805.0147815510777,1789.8000975686548,1799.9432202236032,6063100.0,1605.T
2024-01-11,1805.0147705078125,1826.2231177474957,1799.9432092113666,1811.4694848851075,6515500.0,1605.T
2024-01-12,1853.88623046875,1853.88623046875,1814.696892097737,1835.9052399220498,10343200.0,1605.T
2024-01-15,1883.3934326171875,1885.2376367127736,1870.022952924189,1880.1660754499121,2664800.0,1605.T
2024-01-16,1893.9976806640625,1897.2250379582806,1874.6335368987532,1891.2313744118753,6625200.0,1605.T
2024-01-17,1849.2757568359375,1901.8355764019552,1849.2757568359375,1894.9198106695844,8496500.0,1605.T
2024-01-18,1835.4442138671875,1835.4442138671875,1835.4442138671875,1835.4442138671875,8020600.0,1605.T
2024-01-19,1837.2884521484375,1842.821064802335,1826.2232268406426,1842.3600137478436,6818400.0,1605.T
2024-01-22,1845.5872802734375,1845.5872802734375,1819.7684224929449,1832.2168003513966,7361500.0,1605.T
2024-01-23,1842.35986328125,1864.029261072596,1833.1388429445071,1854.347189719016,6041700.0,1605.T
2024-01-24,1842.8209228515625,1859.418759534739,1837.7493616428142,1847.8924840603108,5160900.0,1605.T
2024-01-25,1834.0609130859375,1864.029228659237,1834.0609130859375,1858.0355655445771,4801600.0,1605.T
2024-01-26,1829.91162109375,1882.01038984749,1828.9895189919139,1867.2567562181123,7626000.0,1605.T
2024-01-29,1905.06298828125,1912.90085633565,1873.7115160636495,1875.5557203117437,11397300.0,1605.T
2024-01-30,1893.53662109375,1901.374488772979,1881.549294054929,1890.3092638140674,4937000.0,1605.T
2024-01-31,1885.6988525390625,1896.764078079634,1879.2441376403956,1894.919873822872,4634400.0,1605.T
2024-02-01,1880.1661376953125,1883.854546008594,1863.1072492463848,1867.2567085988267,4204200.0,1605.T
2024-02-02,1863.1072998046875,1865.4125550630451,1847.431564047855,1860.8020445463299,5253900.0,1605.T
2024-02-05,1868.1788330078125,1877.8609049459083,1852.5030974889908,1875.0945986778809,4276700.0,1605.T
2024-02-06,1822.995849609375,1868.1788524575588,1822.995849609375,1858.4967804186624,7363100.0,1605.T
2024-02-07,1866.795654296875,1873.2503688338363,1843.743102379156,1859.4188376832049,7226200.0,1605.T
2024-02-08,1849.73681640625,1881.0882878707628,1848.8147143043525,1879.2440836669678,5166200.0,1605.T
2024-02-09,1840.0546875,1890.7703015378352,1833.5999729860937,1870.9451069594086,8888700.0,1605.T
2024-02-13,1856.652587890625,1890.309314713574,1822.534810015307,1853.425230524041,18424000.0,1605.T
2024-02-14,1821.151611328125,1873.2503789433345,1811.9305905112735,1866.7956643715386,10716700.0,1605.T
2024-02-15,1782.42333984375,1817.9242703062355,1773.202318944403,1814.2358619464967,9352300.0,1605.T
2024-02-16,1842.8209228515625,1857.1135044398534,1807.7810454093012,1811.008402542141,11800500.0,1605.T
2024-02-19,1875.094482421875,1880.6270946149073,1839.5935541832507,1844.2040643441112,5756000.0,1605.T
2024-02-20,1861.7239990234375,1883.3933967337152,1852.0419277060794,1882.9323457186028,4548300.0,1605.T
2024-02-21,1825.761962890625,1851.5808189315026,1814.6967388731061,1844.2040029198233,9860800.0,1605.T
2024-02-22,1859.4189453125,1862.1852517027492,1844.2042601661294,1849.2758218815864,7730600.0,1605.T
2024-02-26,1829.450439453125,1865.873469875705,1826.6841333450811,1861.2629596956315,8323800.0,1605.T
2024-02-27,1834.9830322265625,1846.5093075546188,1826.2230629772398,1828.528318042851,6407200.0,1605.T
2024-02-28,1844.6651611328125,1856.6524878484968,1829.9115282519701,1844.2041101052862,19063900.0,1605.T
2024-02-29,1854.3472900390625,1890.3092712979005,1835.4441973260834,1877.3998421280612,11897200.0,1605.T
2024-03-01,1906.906982421875,1922.1216657922623,1856.1913711872508,1856.1913711872508,10894100.0,1605.T
2024-03-04,1918.433349609375,1957.6226874408571,1911.0565330763902,1931.8038295754102,7944900.0,1605.T
2024-03-05,1944.7132568359375,1962.2331960867118,1907.8291742027286,1909.673378334389,7912800.0,1605.T
2024-03-06,1978.3701171875,1981.5974746380505,1942.8691852314437,1953.0123086474598,6127200.0,1605.T
2024-03-07,1986.2080078125,2008.3384591530291,1978.370139629396,1990.8185185084435,6710000.0,1605.T
2024-03-08,2000.0394287109375,2004.6499391505663,1965.9216514576851,1981.1363359084598,6404500.0,1605.T
2024-03-11,1899.0692138671875,1964.538460861395,1876.9387641790047,1960.3890015448608,9571200.0,1605.T
2024-03-12,1903.21875,1911.056617914244,1864.951512536337,1898.14718840843,6851900.0,1605.T
2024-03-13,1894.458740234375,1932.7259768952301,1878.7830047347477,1917.0502413956028,5027600.0,1605.T
